"Facility Name","Associated University/Entity","Location (City, State/Province, Country)","Coordinates (Lat, Lon)","Date Opened/Established","Type (Human/Animal/Both)","Current Director","History of Directors","Main Website URL","Donor Packet/Info URL","Donor Metrics (Numbers, Demographics if public)","Key Published Studies/Research Focus","Size/Acreage","Climate/Environment Notes","Unique Features/Notes","Contact Info","Other Helpful Data"
"University of Tennessee Anthropological Research Facility (UTK ARF / FAC “Body Farm”)","University of Tennessee (Forensic Anthropology Center - FAC)","Knoxville, Tennessee, USA","35.943 N, -83.938 W","Conceived 1971; operational ~1972/1981; FAC 1987","Human","Giovanna Vidoli, PhD (since ~2025)","William M. Bass (founder); Dawnie Wolfe Steadman (Director Emeritus); Giovanna Vidoli (current)","https://fac.utk.edu/","https://fac.utk.edu/body-donation/","Largest program; 100+ donations/year historically; >1,000 individuals in Donated Skeletal Collection. Diverse demographics documented in publications.","Pioneering PMI estimation, entomology, scavenging, microbial ecology (DeBruyn), FORDISC software. Hundreds of papers; foundational for global network.","2.5-3 acres wooded","Temperate humid subtropical/continental; varied microenvironments (surface, buried, clothed, vehicles, submerged)","No public tours; major LE training; new 2026 lab triples casework capacity. World-renowned Bass Skeletal Collection. Rejects certain infections.","fac@utk.edu | (865) 974-4408","Iconic first facility. Books: 'Death's Acre'. Strong ethics focus. Ongoing taphonomy, ID, trauma research."
"Forensic Osteology Research Station (FOREST)","Western Carolina University (Forensic Anthropology program)","Cullowhee, North Carolina, USA","35.309 N, -83.184 W","2007 (second US facility)","Human","Angela Dautartas, PhD (Director of Forensic Anthropology Facilities)","Cheryl A. Johnston, PhD (founding/longtime Director; now NAGPRA Coordinator)","https://www.wcu.edu/learn/departments-schools-colleges/cas/social-sciences/anthsoc/foranth/forensic-anthro-facilities.aspx","Contact Dr. Angela Dautartas (adautartas@wcu.edu) for packets","Smaller scale; willed donors curated into documented John A. Williams Human Skeletal Collection. Quality-focused for research/training.","Taphonomy in temperate mountains; elevation/vegetation/scavenging effects; K9 training; fire/thermal bone alteration; surface recovery. Multiple publications.","~0.08 acres (small plot)","Temperate mountain (cooler, higher precip, seasonal); Blue Ridge province","Strong student experiential learning & LE training (cadaver dogs). Permanent skeletal curation. Ethical willed-body program.","adautartas@wcu.edu | (828) 227-2816","One of smallest but highly active for training. Part of broader WCU forensic facilities."
"Forensic Anthropology Research Facility (FARF / FACTS)","Texas State University (Forensic Anthropology Center at Texas State)","San Marcos, Texas, USA","29.88865 N, -97.939086 W","Mid-2000s; announced 2008; operational ~2008-2010","Human","Dr. Kate Spradley / FACTS faculty team (check site)","Founding: Dr. Michelle Hamilton, Dr. Jerry Melbye; ongoing FACTS researchers","https://www.txst.edu/anthropology/facts.html","https://www.txst.edu/anthropology/facts/donations/body.html","Regular donations (hospitals, ME, funeral homes). Large research output; Texas-region focus.","Hot semi-arid decomposition; vulture scavenging (GPS/thermal tracking); PMI models; clandestine grave detection; drone/IR; trauma/taphonomic alterations. Many NIJ projects.","~26 acres (largest; part of 4,200+ acre Freeman Ranch)","Hot semi-arid / subtropical; high temps, low humidity, intense sun, dominant vulture activity","Largest outdoor human decomposition facility. Unique vulture research. Educational outreach + LE training on working ranch with varied topography.","facts@txstate.edu","Emphasizes real-world Texas/Mexico border forensics. Strong remote sensing/GIS for body recovery."
"Southeast Texas Applied Forensic Science Facility (STAFS)","Sam Houston State University (SHSU)","Huntsville, Texas, USA","30.740 N, -95.550 W","~2010-2012","Human","SHSU Forensic Science program faculty","Associated with SHSU Forensic Science Dept (early involvement by Dr. Joan Bytheway et al.)","https://www.shsu.edu/academics/criminal-justice/forensic-science/","Contact SHSU Forensic Science (Anatomical Board of Texas recognized)","Willed-body donor facility; supports student/LE training in humid environment. Limited public aggregate metrics.","Humid subtropical forest decomposition; clandestine grave research (burial detection, geophysics, remote sensing); LE training exercises; morgue facilities.","1-acre max-security research + ~8 acres training (within 247-acre parcel)","Humid subtropical (hot, humid, high rainfall, dense pineywoods forest)","Emphasizes realistic clandestine disposal scenarios + training. Webcams for monitoring. Complements drier FARF site.","SHSU Criminal Justice / Forensic Science Dept","One of two major Texas facilities. Good for insect activity in humid conditions."
"Complex for Forensic Anthropology Research (CFAR)","Southern Illinois University Carbondale (SIU)","Carbondale, Illinois, USA","37.700 N, -89.240 W","2010 (pigs initially); first human Jan 2012","Human (started with pig proxies)","Gretchen R. Dabbs, PhD & D.C. Martin (founders)","Founders: Gretchen R. Dabbs, D.C. Martin (2010 onward)","https://cola.siu.edu/anthro/","Contact SIU Anthropology Dept","Initially pig-focused; transitioned to human. Smaller donor numbers; supports taphonomic experiments.","Cool/windy/low-elevation/acidic soil/poor drainage + vulture effects on decomposition rates/patterns vs. other US sites; clandestine disposal; postmortem alterations.","~0.33 acres fenced","Cool temperate continental; windy, acidic soils, variable seasons","Comparative taphonomy across climates; vulture scavenging parallels Texas. Forensic case consultations + LE training. Acidic soil unique for bone preservation.","SIU Anthropology Dept","Important for regional variation understanding; started with animal proxies for ethics/scale."
"Forensic Investigation Research Station (FIRS)","Colorado Mesa University (CMU)","Grand Junction, Colorado, USA","39.063 N, -108.550 W","Late 2000s-early 2010s; outdoor pigs 2012; humans 2013","Human","Dr. Melissa Connor","Founding/early leadership under CMU Forensic Investigation program; Melissa Connor key","https://www.coloradomesa.edu/","Contact CMU Forensic Science/Anthropology","11+ human cadavers by 2018; ongoing for arid research. Limited public aggregate metrics.","High-desert semi-arid decomposition; desiccation/mummification; PMI for desiccated remains; indoor/outdoor comparison; camera monitoring.","~2 acres outdoor + indoor facilities (classroom, wet lab/morgue, cooler)","High-desert semi-arid; low rainfall (~8.6 in/yr), high altitude (~4,750 ft), extreme temp swings, low humidity","Focus on desiccation/preservation in arid conditions (contrasts humid sites). Indoor controlled studies. LE/student training. Early 'six body farms' group.","CMU Forensic programs","Key for arid climate data; complements humid/semi-arid Texas and others. Strong visual documentation."
"Facility for Outdoor Research and Training (FORT / USF-FORT)","University of South Florida (USF IFAAS)","Tampa, Florida, USA","28.064 N, -82.412 W","~mid-2010s (one of later US facilities)","Human","USF IFAAS / Anthropology faculty (e.g., Erin Kimmerle historically)","USF Florida Institute for Forensic Anthropology & Applied Sciences leadership","https://www.usf.edu/arts-sciences/departments/anthropology/","Contact USF Anthropology or IFAAS","Supports subtropical research; active donor program but limited public metrics.","Subtropical high-humidity decomposition; rapid insect/vegetation effects; PMI in Florida conditions; LE training.","Secure outdoor facility (limited public acreage details)","Subtropical / humid; hot, rainy, high biodiversity/insects","Southernmost US facility; unique for rapid decomposition + vegetation. Fills Southeast US/Caribbean analog gap. Training-focused alongside research.","USF Anthropology / IFAAS","Part of 'seven recognized U.S. body farms'. Important for extreme humid/subtropical data."
"Human Taphonomy Research Site / FROST (Forensic Research Outdoor Station)","Northern Michigan University (NMU Center for Forensic Science)","Near Marquette, Michigan, USA (Upper Peninsula)","46.550 N, -87.400 W","~2010s (world's first dedicated cold-climate outdoor facility)","Human","Dr. Jane Wankmiller (Director of FROST / Center for Forensic Science)","Founding under NMU Forensic Science program; Dr. Jane Wankmiller key/current","https://nmu.edu/frost/","https://nmu.edu/frost/donations (self & next-of-kin packets)","Permanent curation ('Forever Wildcat' program). Focus on cold-climate research; limited public aggregate metrics.","World's first cold/boreal climate decomposition; snow/freeze-thaw cycles; low-temp effects; interdisciplinary (archaeology, soil science, climatology, entomology); LE/medicolegal training.","Outdoor FROST + indoor FARL (intake/analysis/storage)","Cold boreal / subarctic transitional; heavy snow, freeze-thaw, short summers, coniferous forest","Northernmost US facility; critical for northern latitude/winter data gaps. Strong undergrad research. Ethical permanent donation model. Interdisciplinary collaborations.","frost@nmu.edu | (906) 227-1144 or (906) 362-2307 (donations)","Fills major global north climate gap. Part of NMU Center for Forensic Science with FARL lab."
"Forensic Science Research and Training Laboratory (FSRTL)","George Mason University (GMU Forensic Science Program)","Manassas, Virginia, USA","38.757 N, -77.520 W","Proposed 2018; first bodies May 2024; operational 2024+","Human","Mary Ellen O'Toole (Director, GMU Forensic Science Program)","New facility under GMU College of Science Forensic Science Program (O'Toole key)","https://fsrtlab.cos.gmu.edu/","Contact GMU Forensic Science Program","New; small initial donations (2+ in 2024). Focus on Mid-Atlantic/Northeast variation. Documented for research.","Geographic taphonomy variation for Mid-Atlantic (temperate/seasonal/urban-adjacent); 3D documentation/imaging (first FARO-certified lab); crime scene processing; outdoor training; emerging tech applications.","5 acres expansive outdoor protected facility","Temperate Mid-Atlantic; four seasons, moderate humidity, mixed forest/urban interface","Only human taphonomic facility in Mid-Atlantic/Northeast US. Strong tech integration (3D/FARO); local LE partnerships (Fairfax, GMU Police, Army). Training in crime scene house + outdoor lab. Newest major US addition.","fsrtlab@gmu.edu","Fills critical regional gap; leverages DC metro proximity for federal/local agency training. Practical forensic applications focus."
"Forensic Taphonomy Education and Research Facility (FTERF)","Louisiana State University (LSU FACES Laboratory) + Louisiana State Police","Baton Rouge area, Louisiana, USA","30.400 N, -91.100 W","~2020s (website/donation program active)","Human","Megan E. Carroll, MIS (FTERF Manager); LSU FACES leadership (Ginesse Listi et al.; Mary Manhein founded FACES)","Newer; LSU FACES Lab (est. 1990 by Mary Manhein) oversees; Megan Carroll manager","https://lsu.edu/faces/fterf/","https://lsu.edu/faces/fterf/donation.php","Prefers living/next-of-kin; unclaimed/indigent case-by-case with ethics review. All placed at FTERF then curated in LSU FACES Skeletal Collection.","Louisiana environment decomposition; natural progression observation; supports forensic casework, missing persons ID, training. FACES publications on anthropology/imaging/recovery.","~10,890 sq ft (~0.25 acres) secure outdoor","Humid subtropical (Louisiana bayou/forest; hot, very humid, high rainfall, dense vegetation/insects)","University + state police partnership model. Strong ethics/structural violence awareness in donations. After decomp, remains curated for skeletal collection + case support. Missing persons focus (Louisiana Repository).","mcarro11@lsu.edu (Megan Carroll); FACES general contacts","Newer Gulf Coast/subtropical addition. Ethical focus statement. Complements USF FORT."
